CCStrip-at Ep-120C,VSTEP1,-1.395,TSTEP1,600.0,QLIMIT,120000.0
T,Im,Q
33.95,0.428792,15.2466
34.0,0.428751,15.268
34.05,0.428698,15.2895
34.1,0.428642,15.3109
34.15,0.428605,15.3323
34.2,0.428558,15.3537
34.25,0.428499,15.3752
34.3,0.428444,15.3966
34.35,0.428385,15.418
34.4,0.428344,15.4394
34.45,0.428293,15.4608
34.5,0.428265,15.4823
34.55,0.428209,15.5037
34.6,0.428141,15.5251
34.65,0.428077,15.5465
34.7,0.428021,15.5679
34.75,0.427981,15.5893
34.8,0.42791,15.6107
34.85,0.427799,15.6321
34.9,0.427622,15.6534
34.95,0.427552,15.6748
35.0,0.427484,15.6962
35.05,0.42743,15.7176
35.1,0.4274,15.7389
35.15,0.427336,15.7603
35.2,0.427293,15.7817
35.25,0.427072,15.803
35.3,0.427039,15.8244
35.35,0.426978,15.8457
35.4,0.426922,15.8671
35.45,0.426849,15.8884
35.5,0.426797,15.9098
35.55,0.42673,15.9311
35.6,0.426645,15.9524
35.65,0.426613,15.9738
35.7,0.426551,15.9951
35.75,0.426478,16.0164
35.8,0.426421,16.0377
35.85,0.426346,16.059
35.9,0.426282,16.0804
35.95,0.426192,16.1017
36.0,0.426112,16.123
36.05,0.425998,16.1443
36.1,0.42583,16.1656
36.15,0.425767,16.1869
36.2,0.425697,16.2081
36.25,0.425633,16.2294
36.3,0.425562,16.2507
36.35,0.425477,16.272
36.4,0.425392,16.2932
36.45,0.425321,16.3145
36.5,0.425236,16.3358
36.55,0.425144,16.357
36.6,0.425068,16.3783
36.65,0.424986,16.3995
36.7,0.424912,16.4208
36.75,0.424852,16.442
36.8,0.424655,16.4632
36.85,0.42458,16.4845
36.9,0.424514,16.5057
36.95,0.424459,16.5269
37.0,0.424391,16.5481
37.05,0.424387,16.5694
37.1,0.424347,16.5906
37.15,0.424305,16.6118
37.2,0.42424,16.633
37.25,0.42416,16.6542
37.3,0.424109,16.6754
37.35,0.424051,16.6966
37.4,0.423986,16.7178
37.45,0.42394,16.739
37.5,0.42388,16.7602
37.55,0.42383,16.7814
37.6,0.423763,16.8026
37.65,0.423694,16.8238
37.7,0.423625,16.845
37.75,0.423582,16.8661
37.8,0.423521,16.8873
37.85,0.423475,16.9085
37.9,0.423405,16.9297
37.95,0.423315,16.9508
38.0,0.423251,16.972
38.05,0.423202,16.9931
38.1,0.423156,17.0143
38.15,0.42307,17.0355
38.2,0.422983,17.0566
38.25,0.422928,17.0778
38.3,0.42286,17.0989
38.35,0.422745,17.12
38.4,0.422664,17.1412
38.45,0.422577,17.1623
38.5,0.422528,17.1834
38.55,0.422449,17.2045
38.6,0.422365,17.2257
38.65,0.422272,17.2468
38.7,0.422167,17.2679
38.75,0.422066,17.289
38.8,0.421973,17.3101
38.85,0.421892,17.3312
38.9,0.421805,17.3523
38.95,0.421722,17.3734
39.0,0.421653,17.3944
39.05,0.421565,17.4155
39.1,0.421448,17.4366
39.15,0.421357,17.4577
39.2,0.421259,17.4787
39.25,0.421151,17.4998
39.3,0.420972,17.5208
39.35,0.42087,17.5419
39.4,0.420792,17.5629
39.45,0.42071,17.584
39.5,0.420656,17.605
39.55,0.420582,17.626
39.6,0.420519,17.647
39.65,0.420421,17.6681
39.7,0.420377,17.6891
39.75,0.420351,17.7101
39.8,0.42029,17.7311
39.85,0.420226,17.7521
39.9,0.42015,17.7731
39.95,0.420063,17.7941
40.0,0.420029,17.8151
40.05,0.420097,17.8361
40.1,0.420086,17.8571
40.15,0.420036,17.8781
40.2,0.420022,17.8991
40.25,0.419977,17.9201
40.3,0.419905,17.9411
40.35,0.419823,17.9621
40.4,0.419738,17.9831
40.45,0.419656,18.0041
40.5,0.41961,18.0251
40.55,0.419543,18.0461
40.6,0.419475,18.067
40.65,0.419379,18.088
40.7,0.41928,18.109
40.75,0.419261,18.1299
40.8,0.419224,18.1509
40.85,0.419168,18.1718
40.9,0.419073,18.1928
40.95,0.419044,18.2138
41.0,0.418954,18.2347
41.05,0.418795,18.2556
41.1,0.418471,18.2766
41.15,0.418341,18.2975
41.2,0.418245,18.3184
41.25,0.418152,18.3393
41.3,0.418057,18.3602
41.35,0.417973,18.3811
41.4,0.417857,18.402
41.45,0.417728,18.4229
41.5,0.417626,18.4438
41.55,0.417541,18.4646
41.6,0.417482,18.4855
41.65,0.417374,18.5064
41.7,0.417314,18.5272
41.75,0.417238,18.5481
41.8,0.417126,18.569
41.85,0.417029,18.5898
41.9,0.41693,18.6107
41.95,0.416828,18.6315
42.0,0.416755,18.6523
42.05,0.416636,18.6732
42.1,0.416581,18.694
42.15,0.416495,18.7148
42.2,0.416412,18.7356
42.25,0.416312,18.7565
42.3,0.416183,18.7773
42.35,0.416122,18.7981
42.4,0.416053,18.8189
42.45,0.415969,18.8397
42.5,0.415903,18.8605
42.55,0.415788,18.8813
42.6,0.415698,18.9021
42.65,0.415587,18.9228
42.7,0.415495,18.9436
42.75,0.41538,18.9644
42.8,0.415274,18.9851
42.85,0.415142,19.0059
42.9,0.414991,19.0266
42.95,0.414792,19.0474
43.0,0.414603,19.0681
43.05,0.414472,19.0888
43.1,0.414383,19.1096
43.15,0.414286,19.1303
43.2,0.414152,19.151
43.25,0.414017,19.1717
43.3,0.41386,19.1924
43.35,0.413676,19.2131
43.4,0.413556,19.2337
43.45,0.413463,19.2544
43.5,0.413376,19.2751
43.55,0.41322,19.2957
43.6,0.412874,19.3164
43.65,0.412592,19.337
43.7,0.412446,19.3576
43.75,0.412306,19.3782
43.8,0.412147,19.3989
43.85,0.412029,19.4195
43.9,0.411886,19.4401
43.95,0.411754,19.4606
44.0,0.411644,19.4812
44.05,0.411556,19.5018
44.1,0.41144,19.5224
44.15,0.411284,19.5429
44.2,0.411157,19.5635
44.25,0.410899,19.584
44.3,0.410805,19.6046
44.35,0.410866,19.6251
44.4,0.410875,19.6457
44.45,0.410891,19.6662
44.5,0.410859,19.6868
44.55,0.410767,19.7073
44.6,0.410732,19.7278
44.65,0.410696,19.7484
44.7,0.410679,19.7689
44.75,0.410662,19.7894
44.8,0.410605,19.81
44.85,0.410569,19.8305
44.9,0.41051,19.851
44.95,0.410547,19.8715
45.0,0.410479,19.8921
45.05,0.410406,19.9126
45.1,0.410382,19.9331
45.15,0.410219,19.9536
45.2,0.410051,19.9741
45.25,0.409939,19.9946
45.3,0.40986,20.0151
45.35,0.409759,20.0356
45.4,0.409699,20.0561
45.45,0.409597,20.0766
45.5,0.409551,20.097
45.55,0.409493,20.1175
45.6,0.409374,20.138
45.65,0.408956,20.1584
45.7,0.408808,20.1789
45.75,0.408737,20.1993
45.8,0.408611,20.2197
45.85,0.408487,20.2402
45.9,0.408388,20.2606
45.95,0.408249,20.281
46.0,0.40803,20.3014
46.05,0.407884,20.3218
46.1,0.407842,20.3422
46.15,0.40779,20.3626
46.2,0.407657,20.383
46.25,0.407519,20.4033
46.3,0.407413,20.4237
46.35,0.407297,20.4441
46.4,0.407252,20.4644
46.45,0.407148,20.4848
46.5,0.407082,20.5051
46.55,0.406903,20.5255
46.6,0.4067,20.5458
46.65,0.406609,20.5661
46.7,0.406399,20.5865
46.75,0.406303,20.6068
46.8,0.406288,20.6271
46.85,0.4062,20.6474
46.9,0.406161,20.6677
46.95,0.406193,20.688
47.0,0.406147,20.7083
47.05,0.406065,20.7286
47.1,0.405954,20.7489
47.15,0.405779,20.7692
47.2,0.405684,20.7895
47.25,0.405651,20.8098
47.3,0.405535,20.8301
47.35,0.405439,20.8503
