CC-at Ep-120C,VSTEP1,-1.612,TSTEP1,8000.0,QLIMIT,120000.0
T,Im,Q
35.0,-0.0103702,-0.461777
35.05,-0.0103715,-0.462295
35.1,-0.0103655,-0.462813
35.15,-0.0103716,-0.463332
35.2,-0.0103614,-0.46385
35.25,-0.0103774,-0.464369
35.3,-0.0103832,-0.464888
35.35,-0.0103812,-0.465407
35.4,-0.0103739,-0.465926
35.45,-0.0103724,-0.466445
35.5,-0.010376,-0.466963
35.55,-0.0103706,-0.467482
35.6,-0.0103752,-0.468001
35.65,-0.0103781,-0.46852
35.7,-0.0103777,-0.469038
35.75,-0.0103789,-0.469557
35.8,-0.0103793,-0.470076
35.85,-0.010375,-0.470595
35.9,-0.0103752,-0.471114
35.95,-0.0103773,-0.471633
36.0,-0.0103778,-0.472152
36.05,-0.0103729,-0.47267
36.1,-0.0103754,-0.473189
36.15,-0.010376,-0.473708
36.2,-0.0103777,-0.474227
36.25,-0.0103805,-0.474746
36.3,-0.01038,-0.475265
36.35,-0.0103804,-0.475784
36.4,-0.0103812,-0.476303
36.45,-0.0103796,-0.476822
36.5,-0.0103847,-0.477341
36.55,-0.0103879,-0.47786
36.6,-0.010389,-0.47838
36.65,-0.0103892,-0.478899
36.7,-0.0103917,-0.479419
36.75,-0.0103854,-0.479938
36.8,-0.0103946,-0.480458
36.85,-0.0103989,-0.480978
36.9,-0.0103954,-0.481498
36.95,-0.0103901,-0.482017
37.0,-0.0103922,-0.482537
37.05,-0.0103858,-0.483056
37.1,-0.010395,-0.483576
37.15,-0.01039,-0.484095
37.2,-0.0103922,-0.484615
37.25,-0.0103983,-0.485135
37.3,-0.0103918,-0.485654
37.35,-0.0103959,-0.486174
37.4,-0.0103949,-0.486694
37.45,-0.0103973,-0.487214
37.5,-0.0104013,-0.487734
37.55,-0.0103995,-0.488254
37.6,-0.010406,-0.488774
37.65,-0.0104107,-0.489295
37.7,-0.0104155,-0.489815
37.75,-0.010407,-0.490336
37.8,-0.0104106,-0.490856
37.85,-0.0104146,-0.491377
37.9,-0.0104173,-0.491898
37.95,-0.0104152,-0.492419
38.0,-0.0104034,-0.492939
38.05,-0.0104091,-0.493459
38.1,-0.0104136,-0.49398
