100 mVs,SCAN RATE,99.9998
T,Vf,Im
14.72,-1.95283,-0.0161574
14.74,-1.95063,-0.016059
14.76,-1.94864,-0.0159452
14.78,-1.94664,-0.0158197
14.8,-1.94474,-0.0157535
14.82,-1.94264,-0.0157251
14.84,-1.94064,-0.0156472
14.86,-1.93863,-0.0156972
14.88,-1.93664,-0.0156626
14.9,-1.93463,-0.015495
14.92,-1.93246,-0.0154813
14.94,-1.93065,-0.0153791
14.96,-1.92874,-0.015362
14.98,-1.92666,-0.0153199
15.0,-1.92466,-0.0152807
15.02,-1.92264,-0.0152428
15.04,-1.92069,-0.0151565
15.06,-1.91865,-0.0150986
15.08,-1.91666,-0.0150665
15.1,-1.91464,-0.0150994
15.12,-1.91273,-0.015024
15.14,-1.91064,-0.0149223
15.16,-1.90866,-0.0148297
15.18,-1.90665,-0.0148439
15.2,-1.90484,-0.0148689
15.22,-1.90265,-0.0146984
15.24,-1.90065,-0.0145817
15.26,-1.89865,-0.0145629
15.28,-1.89683,-0.01461
15.3,-1.89465,-0.0145471
15.32,-1.89265,-0.0144487
15.34,-1.89064,-0.0143553
15.36,-1.88871,-0.0144274
15.38,-1.88664,-0.0143336
15.4,-1.88466,-0.0141698
15.42,-1.88265,-0.014254
15.44,-1.88085,-0.014179
15.46,-1.87865,-0.0139355
15.48,-1.87664,-0.013961
15.5,-1.87465,-0.0141065
15.52,-1.87279,-0.0138751
15.54,-1.87065,-0.0138038
15.56,-1.86866,-0.0137726
15.58,-1.86665,-0.0137788
15.6,-1.86473,-0.0137542
15.62,-1.86264,-0.0136721
15.64,-1.86066,-0.0137009
15.66,-1.85863,-0.0136679
15.68,-1.8567,-0.0137221
15.7,-1.85475,-0.0135258
15.72,-1.85278,-0.013507
15.74,-1.85067,-0.0133557
15.76,-1.84883,-0.0133595
15.78,-1.84665,-0.013397
15.8,-1.8447,-0.0132465
15.82,-1.84265,-0.0133774
15.84,-1.8408,-0.0133966
15.86,-1.83864,-0.0132969
15.88,-1.83666,-0.013264
15.9,-1.83462,-0.0131048
15.92,-1.83269,-0.0131831
15.94,-1.83064,-0.0131168
15.96,-1.82879,-0.0130076
15.98,-1.82665,-0.0131677
16.0,-1.82482,-0.0129739
16.02,-1.82265,-0.013026
16.04,-1.82066,-0.0130456
16.06,-1.81864,-0.0130893
16.08,-1.8168,-0.013006
16.1,-1.81464,-0.0127859
16.12,-1.81268,-0.0128509
16.14,-1.81065,-0.0127784
16.16,-1.8087,-0.0127608
16.18,-1.80669,-0.0127475
16.2,-1.80465,-0.0126375
16.22,-1.80266,-0.0126875
16.24,-1.80081,-0.0126233
16.26,-1.79867,-0.0125453
16.28,-1.7967,-0.0126312
16.3,-1.79465,-0.0125216
16.32,-1.79283,-0.012527
16.34,-1.79064,-0.0124982
